Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,Crash_Blossom,BBL,Correct,1,0,0.5,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Correct,2,0,0.5526315569877625,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Correct,3,0,0.5526315569877625,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Correct,4,0,0.5263158082962036,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Correct,5,0,0.5,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Correct,6,0,0.5263158082962036,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Correct,7,0,0.5526315569877625,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Correct,8,0,0.5789473652839661,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Default,1,0,0.6315789222717285,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Incorrect,1,0,0.5263158082962036,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Incorrect,2,0,0.4736842215061188,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Incorrect,3,0,0.44736841320991516,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Incorrect,4,0,0.5789473652839661,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Incorrect,5,0,0.4736842215061188,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Negation,1,0,0.34210526943206787,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Negation,2,0,0.2631579041481018,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Negation,3,0,0.28947368264198303,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Negation,4,0,0.15789473056793213,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Negation,5,0,0.28947368264198303,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Negation,6,0,0.28947368264198303,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Negation,7,0,0.28947368264198303,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Negation,8,0,0.3684210479259491,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Random,1,0,0.44736841320991516,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Random,2,0,0.44736841320991516,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Random,3,0,0.44736841320991516,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Random,4,0,0.42105263471603394,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Random,5,0,0.42105263471603394,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Unobserved,1,0,0.5,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Unobserved,2,0,0.5263158082962036,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Unobserved,3,0,0.4736842215061188,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Unobserved,4,0,0.5,Logits,True
Flan-T5-XXL,Crash_Blossom,BBL,Unobserved,5,0,0.5263158082962036,Logits,True
