Dataset,Collection,Type,ID
BBQ_Lite,Alpaca,QA,3
BBQ_Lite,Alpaca,Unobserved,10
Code_Line_Description,Alpaca,Default,1
Code_Line_Description,Alpaca,QA,1
Code_Line_Description,Alpaca,QA,2
Code_Line_Description,Alpaca,QA,3
Code_Line_Description,Alpaca,QA,4
Code_Line_Description,Alpaca,QA,5
Code_Line_Description,Alpaca,QA,6
Code_Line_Description,Alpaca,QA,7
Code_Line_Description,Alpaca,QA,8
Code_Line_Description,Alpaca,QA,9
Code_Line_Description,Alpaca,QA,10
Code_Line_Description,Alpaca,QA,11
Code_Line_Description,Alpaca,QA,12
Code_Line_Description,Alpaca,QA,13
Code_Line_Description,Alpaca,QA,14
Code_Line_Description,Alpaca,QA,15
Code_Line_Description,Alpaca,QA,16
Code_Line_Description,Alpaca,QA,17
Code_Line_Description,Alpaca,QA,18
Code_Line_Description,Alpaca,QA,19
Code_Line_Description,Alpaca,QA,20
Code_Line_Description,Alpaca,Unobserved,1
Code_Line_Description,Alpaca,Unobserved,2
Code_Line_Description,Alpaca,Unobserved,3
Code_Line_Description,Alpaca,Unobserved,4
Code_Line_Description,Alpaca,Unobserved,5
Code_Line_Description,Alpaca,Unobserved,6
Code_Line_Description,Alpaca,Unobserved,7
Code_Line_Description,Alpaca,Unobserved,8
Code_Line_Description,Alpaca,Unobserved,9
Conceptual_Combinations,Alpaca,Default,1
Conceptual_Combinations,Alpaca,QA,1
Conceptual_Combinations,Alpaca,QA,2
Conceptual_Combinations,Alpaca,QA,3
Conceptual_Combinations,Alpaca,QA,4
Conceptual_Combinations,Alpaca,QA,5
Conceptual_Combinations,Alpaca,QA,6
Conceptual_Combinations,Alpaca,QA,7
Conceptual_Combinations,Alpaca,QA,8
Conceptual_Combinations,Alpaca,QA,9
Conceptual_Combinations,Alpaca,QA,10
Conceptual_Combinations,Alpaca,QA,11
Conceptual_Combinations,Alpaca,QA,12
Conceptual_Combinations,Alpaca,QA,13
Conceptual_Combinations,Alpaca,QA,14
Conceptual_Combinations,Alpaca,QA,15
Conceptual_Combinations,Alpaca,QA,16
Conceptual_Combinations,Alpaca,QA,17
Conceptual_Combinations,Alpaca,QA,18
Conceptual_Combinations,Alpaca,QA,19
Conceptual_Combinations,Alpaca,QA,20
Conceptual_Combinations,Alpaca,Unobserved,1
Conceptual_Combinations,Alpaca,Unobserved,2
Conceptual_Combinations,Alpaca,Unobserved,3
Conceptual_Combinations,Alpaca,Unobserved,4
Conceptual_Combinations,Alpaca,Unobserved,5
