Dataset,Collection,Type,ID
MMLU_General,NIV2,QA,3
MMLU_General,MMLU,Unobserved,12
BBQ_Lite,BBL,Unobserved,2
BBQ_Lite,BBL,Unobserved,3
BBQ_Lite,BBL,Unobserved,7
BBQ_Lite,NIV2,QA,12
Code_Line_Description,BBL,Default,1
Code_Line_Description,BBL,Unobserved,1
Code_Line_Description,BBL,Unobserved,2
Code_Line_Description,BBL,Unobserved,3
Code_Line_Description,BBL,Unobserved,4
Code_Line_Description,BBL,Unobserved,5
Code_Line_Description,BBL,Unobserved,6
Code_Line_Description,BBL,Unobserved,7
Code_Line_Description,BBL,Unobserved,8
Code_Line_Description,BBL,Unobserved,9
Code_Line_Description,BBL,Unobserved,10
Code_Line_Description,NIV2,QA,1
Code_Line_Description,NIV2,QA,11
Code_Line_Description,NIV2,QA,21
Code_Line_Description,NIV2,QA,31
Code_Line_Description,NIV2,QA,41
Conceptual_Combinations,BBL,Default,1
Conceptual_Combinations,BBL,Unobserved,1
Conceptual_Combinations,BBL,Unobserved,2
Conceptual_Combinations,BBL,Unobserved,3
Conceptual_Combinations,BBL,Unobserved,4
Conceptual_Combinations,BBL,Unobserved,5
Conceptual_Combinations,BBL,Unobserved,6
Conceptual_Combinations,BBL,Unobserved,7
Conceptual_Combinations,BBL,Unobserved,8
Conceptual_Combinations,BBL,Unobserved,9
Conceptual_Combinations,BBL,Unobserved,10
Conceptual_Combinations,NIV2,QA,1
Conceptual_Combinations,NIV2,QA,11
Conceptual_Combinations,NIV2,QA,21
Conceptual_Combinations,NIV2,QA,31
Conceptual_Combinations,NIV2,QA,41
Hindu_Knowledge,BBL,Default,1
Hindu_Knowledge,BBL,Unobserved,1
Hindu_Knowledge,BBL,Unobserved,2
Hindu_Knowledge,BBL,Unobserved,3
Hindu_Knowledge,BBL,Unobserved,4
Hindu_Knowledge,BBL,Unobserved,5
Hindu_Knowledge,BBL,Unobserved,6
Hindu_Knowledge,BBL,Unobserved,7
Hindu_Knowledge,BBL,Unobserved,8
Hindu_Knowledge,BBL,Unobserved,9
Hindu_Knowledge,BBL,Unobserved,10
Hindu_Knowledge,NIV2,QA,1
Hindu_Knowledge,NIV2,QA,11
Hindu_Knowledge,NIV2,QA,21
Hindu_Knowledge,NIV2,QA,31
Hindu_Knowledge,NIV2,QA,41
Known_Unknowns,BBL,Default,1
Known_Unknowns,BBL,Unobserved,1
Known_Unknowns,BBL,Unobserved,2
Known_Unknowns,BBL,Unobserved,3
Known_Unknowns,BBL,Unobserved,4
Known_Unknowns,BBL,Unobserved,5
Known_Unknowns,BBL,Unobserved,6
Known_Unknowns,BBL,Unobserved,7
Known_Unknowns,BBL,Unobserved,8
Known_Unknowns,BBL,Unobserved,9
Known_Unknowns,BBL,Unobserved,10
Known_Unknowns,NIV2,QA,1
Known_Unknowns,NIV2,QA,11
Known_Unknowns,NIV2,QA,21
Known_Unknowns,NIV2,QA,31
Known_Unknowns,NIV2,QA,41
Language_Identification,BBL,Default,1
Language_Identification,NIV2,Classification,31
Logic_Grid_Puzzle,BBL,Unobserved,3
Logic_Grid_Puzzle,BBL,Unobserved,4
Logic_Grid_Puzzle,NIV2,QA,1
Logic_Grid_Puzzle,NIV2,QA,11
Logical_Deduction,BBL,Unobserved,1
Logical_Deduction,BBL,Unobserved,2
Logical_Deduction,BBL,Unobserved,3
Logical_Deduction,BBL,Unobserved,4
Logical_Deduction,BBL,Unobserved,5
Logical_Deduction,NIV2,QA,1
Logical_Deduction,NIV2,QA,11
Logical_Deduction,NIV2,QA,21
Logical_Deduction,NIV2,QA,31
Logical_Deduction,NIV2,QA,41
Novel_Concepts,BBL,Default,1
Novel_Concepts,BBL,Unobserved,1
Novel_Concepts,BBL,Unobserved,2
Novel_Concepts,BBL,Unobserved,3
Novel_Concepts,BBL,Unobserved,4
Novel_Concepts,BBL,Unobserved,5
Novel_Concepts,BBL,Unobserved,6
Novel_Concepts,BBL,Unobserved,7
Novel_Concepts,BBL,Unobserved,8
Novel_Concepts,BBL,Unobserved,9
Novel_Concepts,BBL,Unobserved,10
Novel_Concepts,NIV2,QA,1
Novel_Concepts,NIV2,QA,11
Novel_Concepts,NIV2,QA,21
Novel_Concepts,NIV2,QA,31
Novel_Concepts,NIV2,QA,41
Play_Dialog,BBL,Unobserved,2
Play_Dialog,FLAN,BC,1
Strange_Stories,BBL,Default,1
Strange_Stories,BBL,Unobserved,1
Strange_Stories,BBL,Unobserved,2
Strange_Stories,BBL,Unobserved,3
Strange_Stories,BBL,Unobserved,4
Strange_Stories,BBL,Unobserved,5
Strange_Stories,BBL,Unobserved,6
Strange_Stories,BBL,Unobserved,7
Strange_Stories,BBL,Unobserved,8
Strange_Stories,BBL,Unobserved,9
Strange_Stories,BBL,Unobserved,10
Strange_Stories,FLAN,BC,1
Strange_Stories,NIV2,BC,1
StrategyQA,BBL,Unobserved,1
StrategyQA,FLAN,BC,1
StrategyQA,NIV2,BC,1
Vitaminc_Fact_Verification,BBL,Unobserved,9
Vitaminc_Fact_Verification,FLAN,Classification,11
Winowhy,BBL,Unobserved,5
Winowhy,BBL,Unobserved,6
Winowhy,FLAN,BC,1
Winowhy,NIV2,BC,1
