Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Alpaca-13B,BBQ_Lite,Alpaca,Default,1,0,0.526430368,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,1,0,0.413370639,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,2,0,0.43998757,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,3,0,0.448569655,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,4,0,0.447574615,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,5,0,0.45217663,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,6,0,0.407898009,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,7,0,0.455286056,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,8,0,0.428171635,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,9,0,0.419776112,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,10,0,0.447512448,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,11,0,0.432213932,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,12,0,0.453482598,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,13,0,0.424004972,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,14,0,0.424004972,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,15,0,0.424253732,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,16,0,0.436691552,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,17,0,0.447761208,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,18,0,0.433706462,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,19,0,0.43476367,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,QA,20,0,0.43177861,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,1,0,0.460136831,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,2,0,0.453109443,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,3,0,0.487997502,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,4,0,0.479104489,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,5,0,0.429477602,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,6,0,0.452300996,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,7,0,0.442164183,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,8,0,0.43700248,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,9,0,0.455597013,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,10,0,0.428669155,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,11,0,0.43526119,Logits,TRUE
Alpaca-13B,BBQ_Lite,Alpaca,Unobserved,12,0,0.421890557,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Default,1,0,0.609375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,1,0,0.84375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,2,0,0.859375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,3,0,0.859375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,4,0,0.84375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,5,0,0.828125,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,6,0,0.84375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,7,0,0.875,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,8,0,0.859375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,9,0,0.78125,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,10,0,0.84375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,11,0,0.859375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,12,0,0.859375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,13,0,0.875,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,14,0,0.875,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,15,0,0.875,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,16,0,0.84375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,17,0,0.828125,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,18,0,0.859375,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,19,0,0.890625,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,QA,20,0,0.828125,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,1,0,0.8125,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,2,0,0.796875,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,3,0,0.875,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,4,0,0.828125,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,5,0,0.875,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,6,0,0.90625,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,7,0,0.875,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,8,0,0.78125,Logits,TRUE
Alpaca-13B,Code_Line_Description,Alpaca,Unobserved,9,0,0.859375,Logits,TRUE
Alpaca-13B,Conceptual_Combinations,Alpaca,Default,1,0,0.605769217,Logits,TRUE
Alpaca-13B,Conceptual_Combinations,Alpaca,QA,1,0,0.586538434,Logits,TRUE
Alpaca-13B,Conceptual_Combinations,Alpaca,QA,2,0,0.605769217,Logits,TRUE
Alpaca-13B,Conceptual_Combinations,Alpaca,QA,3,0,0.625,Logits,TRUE
Alpaca-13B,Conceptual_Combinations,Alpaca,QA,4,0,0.634615362,Logits,TRUE
Alpaca-13B,Conceptual_Combinations,Alpaca,QA,5,0,0.615384638,Logits,TRUE
Alpaca-13B,Conceptual_Combinations,Alpaca,QA,6,0,0.615384638,Logits,TRUE
Alpaca-13B,Conceptual_Combinations,Alpaca,QA,7,0,0.615384638,Logits,TRUE
