Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
T0-3B,BBQ_Lite,BBL,Default,1,0,0.334660351,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,1,0,0.331736743,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,2,0,0.308285654,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,3,0,0.317865133,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,4,0,0.324334413,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,5,0,0.309467524,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,6,0,0.294911683,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,7,0,0.313013196,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,8,0,0.299950242,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,9,0,0.322157264,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,10,0,0.328066677,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,11,0,0.332358807,Logits,TRUE
T0-3B,BBQ_Lite,BBL,Unobserved,12,0,0.336402088,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,1,0,0.318238378,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,2,0,0.37248072,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,3,0,0.323961198,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,4,0,0.3820602,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,5,0,0.302749455,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,6,0,0.319358051,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,7,0,0.313013196,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,8,0,0.385108232,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,9,0,0.38635233,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,10,0,0.377083838,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,11,0,0.328875333,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,12,0,0.36769098,Logits,TRUE
T0-3B,BBQ_Lite,T0,QA,13,0,0.368126392,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Default,1,0,0.649999976,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,1,0,0.600000024,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,2,0,0.649999976,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,3,0,0.616666675,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,4,0,0.550000012,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,5,0,0.633333325,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,6,0,0.633333325,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,7,0,0.566666663,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,8,0,0.566666663,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,9,0,0.583333313,Logits,TRUE
T0-3B,Code_Line_Description,BBL,Unobserved,10,0,0.483333319,Logits,TRUE
T0-3B,Code_Line_Description,T0,QA,1,0,0.483333319,Logits,TRUE
