Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Alpaca-7B,MMLU_General,Alpaca,QA,1,0,0.406321198,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,2,0,0.419988602,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,3,0,0.421483487,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,4,0,0.421839416,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,5,0,0.424900353,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,6,0,0.416927665,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,7,0,0.423120737,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,8,0,0.408955008,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,9,0,0.420344532,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,10,0,0.421910584,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,11,0,0.421198756,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,12,0,0.424757987,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,13,0,0.416571766,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,14,0,0.416571766,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,15,0,0.422978371,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,16,0,0.42468679,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,17,0,0.426822335,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,18,0,0.421412289,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,19,0,0.417639524,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,QA,20,0,0.404399216,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,1,0,0.415005684,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,2,0,0.393009692,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,3,0,0.401267081,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,4,0,0.412229508,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,5,0,0.411731213,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,6,0,0.373006821,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,7,0,0.342183948,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,8,0,0.39080295,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,9,0,0.420415729,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,10,0,0.392297834,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,11,0,0.373078018,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,12,0,0.410449892,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,13,0,0.421412289,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,14,0,0.426751137,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,15,0,0.369376421,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,16,0,0.418493748,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,17,0,0.40197894,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,18,0,0.412229508,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,19,0,0.409951597,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,20,0,0.420273334,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,21,0,0.382616729,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,22,0,0.420842826,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,23,0,0.336346805,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,24,0,0.384681106,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,25,0,0.373433948,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,26,0,0.402477235,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,27,0,0.395216405,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,28,0,0.418778479,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,29,0,0.392724931,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,30,0,0.394504547,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,31,0,0.403972089,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,32,0,0.399060369,Logits,TRUE
Alpaca-7B,MMLU_General,Alpaca,Unobserved,33,0,0.388453871,Logits,TRUE
