Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,MMLU_General,NIV2,QA,1,0,0.531665077,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,2,0,0.529463565,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,3,0,0.53173846,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,4,0,0.532252146,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,5,0,0.530637705,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,6,0,0.531811844,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,7,0,0.531665077,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,8,0,0.530417553,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,9,0,0.529610332,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,10,0,0.532839216,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,11,0,0.532985984,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,12,0,0.530637705,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,13,0,0.531078007,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,14,0,0.531224774,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,15,0,0.531224774,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,16,0,0.533059367,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,17,0,0.530857856,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,18,0,0.532031995,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,19,0,0.530857856,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,20,0,0.532472298,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,21,0,0.537095472,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,22,0,0.533573053,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,23,0,0.535187495,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,24,0,0.533866588,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,25,0,0.537315623,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,26,0,0.538196228,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,27,0,0.536214868,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,28,0,0.537976077,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,29,0,0.535847949,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,30,0,0.537022089,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,31,0,0.532472298,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,32,0,0.530124018,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,33,0,0.530931239,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,34,0,0.531591693,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,35,0,0.532252146,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,36,0,0.531224774,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,37,0,0.530417553,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,38,0,0.531885228,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,39,0,0.52917003,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,40,0,0.532472298,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,41,0,0.53034417,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,42,0,0.530417553,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,43,0,0.533352902,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,44,0,0.533866588,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,45,0,0.534013356,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,46,0,0.530564321,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,47,0,0.530931239,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,48,0,0.531591693,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,49,0,0.532178763,Logits,TRUE
Flan-T5-XXL,MMLU_General,NIV2,QA,50,0,0.533939972,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,1,0,0.523519483,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,2,0,0.533132751,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,3,0,0.533132751,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,4,0,0.527408821,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,5,0,0.527408821,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,6,0,0.50216482,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,7,0,0.532398914,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,8,0,0.520584134,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,9,0,0.531371542,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,10,0,0.533793205,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,11,0,0.513025611,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,12,0,0.532472298,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,13,0,0.524693623,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,14,0,0.526087914,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,15,0,0.531151391,Logits,TRUE
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,16,0,0.533719821,Logits,TRUE
