Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
T0++,MMLU_General,MMLU,Unobserved,1,0,0.487341315,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,2,0,0.489102513,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,3,0,0.491450787,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,4,0,0.477801412,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,5,0,0.485614598,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,6,0,0.495299816,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,7,0,0.493234575,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,8,0,0.470588237,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,9,0,0.478137016,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,10,0,0.496296823,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,11,0,0.471442819,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,12,0,0.489317775,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,13,0,0.498646915,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,14,0,0.472867101,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,15,0,0.482267469,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,16,0,0.492095143,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,17,0,0.479134023,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,18,0,0.480202258,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,19,0,0.47742486,Logits,TRUE
T0++,MMLU_General,MMLU,Unobserved,20,0,0.492736071,Logits,TRUE
T0++,MMLU_General,T0,QA,1,0,0.493138611,Logits,TRUE
T0++,MMLU_General,T0,QA,2,0,0.480443239,Logits,TRUE
T0++,MMLU_General,T0,QA,3,0,0.49695459,Logits,TRUE
T0++,MMLU_General,T0,QA,4,0,0.477654666,Logits,TRUE
T0++,MMLU_General,T0,QA,5,0,0.490350038,Logits,TRUE
T0++,MMLU_General,T0,QA,6,0,0.49188149,Logits,TRUE
T0++,MMLU_General,T0,QA,7,0,0.496296823,Logits,TRUE
T0++,MMLU_General,T0,QA,8,0,0.4722974,Logits,TRUE
T0++,MMLU_General,T0,QA,9,0,0.475359648,Logits,TRUE
T0++,MMLU_General,T0,QA,10,0,0.478991598,Logits,TRUE
T0++,MMLU_General,T0,QA,11,0,0.473792911,Logits,TRUE
T0++,MMLU_General,T0,QA,12,0,0.476356655,Logits,TRUE
T0++,MMLU_General,T0,QA,13,0,0.47500357,Logits,TRUE
