Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
T0-3B,MMLU_General,MMLU,Unobserved,1,0,0.37190872,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,2,0,0.3774125,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,3,0,0.3828429,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,4,0,0.38071474,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,5,0,0.37616497,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,6,0,0.3774125,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,7,0,0.38291627,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,8,0,0.37672696,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,9,0,0.37447715,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,10,0,0.36640492,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,11,0,0.36519015,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,12,0,0.37322962,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,13,0,0.38753945,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,14,0,0.37530267,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,15,0,0.37792617,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,16,0,0.37616497,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,17,0,0.37623835,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,18,0,0.37763265,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,19,0,0.35026053,Logits,TRUE
T0-3B,MMLU_General,MMLU,Unobserved,20,0,0.38409042,Logits,TRUE
T0-3B,MMLU_General,T0,QA,1,0,0.381668746,Logits,TRUE
T0-3B,MMLU_General,T0,QA,2,0,0.347471923,Logits,TRUE
T0-3B,MMLU_General,T0,QA,3,0,0.378072947,Logits,TRUE
T0-3B,MMLU_General,T0,QA,4,0,0.3521685,Logits,TRUE
T0-3B,MMLU_General,T0,QA,5,0,0.375944823,Logits,TRUE
T0-3B,MMLU_General,T0,QA,6,0,0.384824246,Logits,TRUE
T0-3B,MMLU_General,T0,QA,7,0,0.383209795,Logits,TRUE
T0-3B,MMLU_General,T0,QA,8,0,0.353122473,Logits,TRUE
T0-3B,MMLU_General,T0,QA,9,0,0.355250597,Logits,TRUE
T0-3B,MMLU_General,T0,QA,10,0,0.351067722,Logits,TRUE
T0-3B,MMLU_General,T0,QA,11,0,0.359947175,Logits,TRUE
T0-3B,MMLU_General,T0,QA,12,0,0.346664697,Logits,TRUE
T0-3B,MMLU_General,T0,QA,13,0,0.342041522,Logits,TRUE
