Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Large,MMLU_General,MMLU,Unobserved,1,0,0.4075630307197571,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,2,0,0.4096994698047638,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,3,0,0.41083890199661255,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,4,0,0.40799030661582947,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,5,0,0.41781798005104065,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,6,0,0.4114086329936981,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,7,0,0.41333144903182983,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,8,0,0.4169633984565735,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,9,0,0.41119498014450073,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,10,0,0.41269049048423767,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,11,0,0.4136162996292114,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,12,0,0.41731947660446167,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,13,0,0.41048282384872437,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,14,0,0.41546788811683655,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,15,0,0.41119498014450073,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,16,0,0.4169633984565735,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,17,0,0.419242262840271,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,18,0,0.41589516401290894,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,19,0,0.40400227904319763,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,20,0,0.40848881006240845,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,21,0,0.40592509508132935,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,22,0,0.41582396626472473,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,23,0,0.3997293710708618,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,24,0,0.41561031341552734,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,25,0,0.40585386753082275,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,26,0,0.3972368538379669,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,27,0,0.4123344123363495,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,28,0,0.4027916193008423,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,29,0,0.41247686743736267,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,30,0,0.40628114342689514,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,31,0,0.4089161157608032,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,32,0,0.3927503228187561,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,33,0,0.41496938467025757,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,34,0,0.3907563090324402,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,35,0,0.4194559156894684,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,36,0,0.4119071364402771,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,37,0,0.41034039855003357,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,38,0,0.4137587249279022,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,39,0,0.41105255484580994,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,40,0,0.41098132729530334,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,1,0,0.41496938467025757,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,2,0,0.41247686743736267,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,3,0,0.41247686743736267,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,4,0,0.41297537088394165,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,5,0,0.4119071364402771,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,6,0,0.41496938467025757,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,7,0,0.41304656863212585,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,8,0,0.4137587249279022,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,9,0,0.4115510582923889,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,10,0,0.41347387433052063,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,11,0,0.4141148030757904,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,12,0,0.4114086329936981,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,13,0,0.4117647111415863,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,14,0,0.4116222858428955,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,15,0,0.41283291578292847,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,16,0,0.4125480651855469,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,17,0,0.4121207892894745,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,18,0,0.4141148030757904,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,19,0,0.4122632145881653,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,20,0,0.4116934835910797,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,21,0,0.4118359088897705,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,22,0,0.40884488821029663,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,23,0,0.4091297388076782,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,24,0,0.40841761231422424,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,25,0,0.4096282720565796,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,26,0,0.4112662076950073,Logits,True
