Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Small,MMLU_General,MMLU,Unobserved,1,0,0.297464758,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,2,0,0.30131036,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,3,0,0.306936324,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,4,0,0.28386271,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,5,0,0.291269064,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,6,0,0.299957275,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,7,0,0.295755595,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,8,0,0.289631099,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,9,0,0.305084735,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,10,0,0.307292402,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,11,0,0.303518027,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,12,0,0.303874105,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,13,0,0.303019524,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,14,0,0.307149976,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,15,0,0.305084735,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,16,0,0.305725694,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,17,0,0.306651473,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,18,0,0.306651473,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,19,0,0.27723971,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,20,0,0.294829786,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,21,0,0.29205241799354553,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,22,0,0.2933342754840851,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,23,0,0.28941747546195984,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,24,0,0.29675260186195374,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,25,0,0.2850021421909332,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,26,0,0.30102550983428955,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,27,0,0.2828657031059265,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,28,0,0.3018800616264343,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,29,0,0.3022361397743225,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,30,0,0.30088305473327637,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,31,0,0.30843183398246765,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,32,0,0.3003133535385132,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,33,0,0.30572569370269775,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,34,0,0.2925509214401245,Logits,True
