Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XL,MMLU_General,NIV2,QA,1,0,0.480516621,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,2,0,0.478241726,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,3,0,0.481323842,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,4,0,0.482204447,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,5,0,0.482204447,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,6,0,0.481323842,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,7,0,0.480223087,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,8,0,0.481103691,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,9,0,0.479269098,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,10,0,0.481177075,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,11,0,0.480736773,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,12,0,0.480369854,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,13,0,0.481250459,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,14,0,0.481690761,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,15,0,0.481103691,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,16,0,0.482424598,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,17,0,0.481397226,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,18,0,0.48147061,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,19,0,0.480810156,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,20,0,0.481030307,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,21,0,0.487634843,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,22,0,0.486754238,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,23,0,0.483892273,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,24,0,0.483965656,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,25,0,0.485139796,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,26,0,0.488588831,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,27,0,0.484259191,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,28,0,0.486974389,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,29,0,0.485359947,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,30,0,0.484772877,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,31,0,0.477948191,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,32,0,0.478828796,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,33,0,0.478535261,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,34,0,0.478241726,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,35,0,0.479489249,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,36,0,0.4797094,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,37,0,0.479489249,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,38,0,0.480443238,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,39,0,0.478535261,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,40,0,0.479048947,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,41,0,0.476847435,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,42,0,0.479342482,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,43,0,0.478828796,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,44,0,0.479122331,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,45,0,0.481984296,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,46,0,0.477507889,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,47,0,0.478828796,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,48,0,0.480076319,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,49,0,0.478241726,Logits,TRUE
Flan-T5-XL,MMLU_General,NIV2,QA,50,0,0.480149703,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,1,0,0.4765539,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,2,0,0.478828796,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,3,0,0.478828796,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,4,0,0.486313936,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,5,0,0.486460703,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,6,0,0.483745505,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,7,0,0.481617377,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,8,0,0.46965583,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,9,0,0.474499156,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,10,0,0.479269098,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,11,0,0.46334483,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,12,0,0.475599912,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,13,0,0.469215528,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,14,0,0.463711749,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,15,0,0.477874807,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,16,0,0.481984296,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,17,0,0.480736773,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,18,0,0.477287738,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,19,0,0.469288912,Logits,TRUE
Flan-T5-XL,MMLU_General,MMLU,Unobserved,20,0,0.448594702,Logits,TRUE
