Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Base,MMLU_General,MMLU,Unobserved,1,1,0.340502799,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,2,1,0.346912622,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,3,1,0.348408222,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,4,1,0.335873514,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,5,1,0.338294983,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,6,1,0.348265797,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,7,1,0.351257026,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,8,1,0.351257026,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,9,1,0.331386656,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,10,1,0.337226689,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,11,1,0.324834406,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,12,1,0.337084264,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,13,1,0.336514503,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,14,1,0.332098842,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,15,1,0.344206244,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,16,1,0.335232526,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,17,1,0.336870581,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,18,1,0.339220852,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,19,1,0.310020655,Logits,TRUE
Flan-T5-Base,MMLU_General,MMLU,Unobserved,20,1,0.344348699,Logits,TRUE
Flan-T5-Base,MMLU_General,NIV2,QA,1,1,0.34491846,Logits,TRUE
Flan-T5-Base,MMLU_General,NIV2,QA,2,1,0.345060885,Logits,TRUE
Flan-T5-Base,MMLU_General,NIV2,QA,3,1,0.344562352,Logits,TRUE
Flan-T5-Base,MMLU_General,NIV2,QA,4,1,0.341713548,Logits,TRUE
Flan-T5-Base,MMLU_General,NIV2,QA,5,1,0.342425764,Logits,TRUE
Flan-T5-Base,MMLU_General,NIV2,QA,6,1,0.342425764,Logits,TRUE
Flan-T5-Base,MMLU_General,NIV2,QA,7,1,0.343494058,Logits,TRUE
