Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Large,MMLU_General,MMLU,Unobserved,1,1,0.41357454657554626,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,2,1,0.40972864627838135,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,3,1,0.40801936388015747,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,4,1,0.40417349338531494,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,5,1,0.4028915464878082,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,6,1,0.4145003855228424,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,7,1,0.4103696346282959,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,8,1,0.414571613073349,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,9,1,0.39876076579093933,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,10,1,0.4129335582256317,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,11,1,0.3953422009944916,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,12,1,0.4046720266342163,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,13,1,0.38558506965637207,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,14,1,0.4058115482330322,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,15,1,0.403033971786499,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,16,1,0.4021793305873871,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,17,1,0.4051705598831177,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,18,1,0.39690905809402466,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,19,1,0.3820953071117401,Logits,True
Flan-T5-Large,MMLU_General,MMLU,Unobserved,20,1,0.4091588854789734,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,1,1,0.406452537,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,2,1,0.405384243,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,3,1,0.408945233,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,4,1,0.406167656,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,5,1,0.404600799,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,6,1,0.404600799,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,7,1,0.408446699,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,8,1,0.407449603,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,9,1,0.406594962,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,10,1,0.405313015,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,11,1,0.406025201,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,12,1,0.406594962,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,13,1,0.407378405,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,14,1,0.408874005,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,15,1,0.407378405,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,16,1,0.407378405,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,17,1,0.41022718,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,18,1,0.40723595,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,19,1,0.408945233,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,20,1,0.409230113,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,21,1,0.406310081,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,22,1,0.405384243,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,23,1,0.405313015,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,24,1,0.405526668,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,25,1,0.404387146,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,26,1,0.404387146,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,27,1,0.407876939,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,28,1,0.406167656,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,29,1,0.407663286,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,30,1,0.405028135,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,31,1,0.405313015,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,32,1,0.404743254,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,33,1,0.406096429,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,34,1,0.404315919,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,35,1,0.405740321,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,36,1,0.405740321,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,37,1,0.405882776,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,38,1,0.406310081,Logits,True
Flan-T5-Large,MMLU_General,NIV2,QA,39,1,0.406523764,Logits,True
