Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Small,MMLU_General,MMLU,Unobserved,1,1,0.3011181652545929,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,2,1,0.30467915534973145,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,3,1,0.3053913414478302,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,4,1,0.28658926486968994,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,5,1,0.2969161868095398,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,6,1,0.29883912205696106,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,7,1,0.29891031980514526,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,8,1,0.2982693612575531,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,9,1,0.29349762201309204,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,10,1,0.2969161868095398,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,11,1,0.2873727083206177,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,12,1,0.28616195917129517,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,13,1,0.2984830141067505,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,14,1,0.28509366512298584,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,15,1,0.30047717690467834,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,16,1,0.2917171120643616,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,17,1,0.29641762375831604,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,18,1,0.3036108613014221,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,19,1,0.28922441601753235,Logits,True
Flan-T5-Small,MMLU_General,MMLU,Unobserved,20,1,0.291645884513855,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,1,1,0.296346426,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,2,1,0.294138581,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,3,1,0.297485948,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,4,1,0.295562983,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,5,1,0.296844959,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,6,1,0.296844959,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,7,1,0.298198134,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,8,1,0.296346426,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,9,1,0.296631306,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,10,1,0.296132743,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,11,1,0.280250698,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,12,1,0.277758002,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,13,1,0.274125785,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,14,1,0.274196982,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,15,1,0.278897524,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,16,1,0.278897524,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,17,1,0.274410665,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,18,1,0.274481863,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,19,1,0.277971655,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,20,1,0.274196982,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,21,1,0.298411787,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,22,1,0.294850796,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,23,1,0.296844959,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,24,1,0.296916187,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,25,1,0.298055708,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,26,1,0.298055708,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,27,1,0.297485948,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,28,1,0.296417624,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,29,1,0.295990318,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,30,1,0.295776665,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,31,1,0.298839122,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,32,1,0.300405949,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,33,1,0.301616699,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,34,1,0.303254753,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,35,1,0.303183526,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,36,1,0.303183526,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,37,1,0.303112328,Logits,True
Flan-T5-Small,MMLU_General,NIV2,QA,38,1,0.299266428,Logits,True
