Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XL,MMLU_General,MMLU,Unobserved,1,1,0.4780998528003692,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,2,1,0.4740402996540069,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,3,1,0.475322276353836,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,4,1,0.4776725172996521,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,5,1,0.4798803627490997,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,6,1,0.4776013195514679,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,7,1,0.4794530272483825,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,8,1,0.4836550056934356,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,9,1,0.4717612564563751,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,10,1,0.4795954823493957,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,11,1,0.4620753526687622,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,12,1,0.4748237431049347,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,13,1,0.4730432331562042,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,14,1,0.4745388627052307,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,15,1,0.476176917552948,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,16,1,0.4679866135120392,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,17,1,0.4793106019496918,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,18,1,0.4746100604534149,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,19,1,0.4513211250305176,Logits,True
Flan-T5-XL,MMLU_General,MMLU,Unobserved,20,1,0.4794530272483825,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,1,1,0.472331017,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,2,1,0.471476376,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,3,1,0.475037396,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,4,1,0.475892037,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,5,1,0.47282958,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,6,1,0.47282958,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,7,1,0.475393504,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,8,1,0.477458864,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,9,1,0.47639057,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,10,1,0.473826647,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,11,1,0.474182755,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,12,1,0.475108624,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,13,1,0.474396408,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,14,1,0.47610569,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,15,1,0.475749582,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,16,1,0.475749582,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,17,1,0.475963265,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,18,1,0.475892037,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,19,1,0.478598386,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,20,1,0.476746678,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,21,1,0.477387637,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,22,1,0.478313506,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,23,1,0.476461798,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,24,1,0.478384733,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,25,1,0.477102757,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,26,1,0.477102757,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,27,1,0.477530092,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,28,1,0.480022788,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,29,1,0.478527158,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,30,1,0.476675451,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,31,1,0.472615898,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,32,1,0.471761256,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,33,1,0.47076419,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,34,1,0.473328114,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,35,1,0.474966168,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,36,1,0.474966168,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,37,1,0.474182755,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,38,1,0.474111527,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,39,1,0.47582081,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,40,1,0.472758353,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,41,1,0.475464702,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,42,1,0.474894941,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,43,1,0.473969102,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,44,1,0.475892037,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,45,1,0.474752516,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,46,1,0.474752516,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,47,1,0.475678384,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,48,1,0.476248145,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,49,1,0.477102757,Logits,True
Flan-T5-XL,MMLU_General,NIV2,QA,50,1,0.472972006,Logits,True
