Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,1,1,0.5274553298950195,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,2,1,0.5330104827880859,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,3,1,0.5315148234367371,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,4,1,0.5220425724983215,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,5,1,0.523823082447052,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,6,1,0.5370700359344482,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,7,1,0.5360016822814941,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,8,1,0.5364290475845337,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,9,1,0.5302329063415527,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,10,1,0.5376397967338562,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,11,1,0.5150630474090576,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,12,1,0.5320134162902832,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,13,1,0.5263870358467102,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,14,1,0.5290933847427368,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,15,1,0.5325119495391846,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,16,1,0.5258172750473022,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,17,1,0.5284523963928223,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,18,1,0.5267431139945984,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,19,1,0.4929136037826538,Logits,True
Flan-T5-XXL,MMLU_General,MMLU,Unobserved,20,1,0.5332241058349609,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,1,1,0.525176287,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,2,1,0.525033832,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,3,1,0.524464071,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,4,1,0.524606526,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,5,1,0.526885569,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,6,1,0.526885569,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,7,1,0.527384102,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,8,1,0.529378235,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,9,1,0.524107993,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,10,1,0.523395777,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,11,1,0.526030898,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,12,1,0.526387036,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,13,1,0.528025091,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,14,1,0.528808475,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,15,1,0.528167486,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,16,1,0.528167486,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,17,1,0.52774018,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,18,1,0.527882636,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,19,1,0.525461137,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,20,1,0.527597725,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,21,1,0.527668953,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,22,1,0.530446529,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,23,1,0.530517757,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,24,1,0.530517757,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,25,1,0.530802667,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,26,1,0.530802667,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,27,1,0.531158745,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,28,1,0.53251195,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,29,1,0.528238714,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,30,1,0.529663146,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,31,1,0.521971345,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,32,1,0.52389431,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,33,1,0.52567482,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,34,1,0.526315808,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,35,1,0.526030898,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,36,1,0.526030898,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,37,1,0.52745533,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,38,1,0.525746047,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,39,1,0.524891376,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,40,1,0.524606526,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,41,1,0.526030898,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,42,1,0.529663146,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,43,1,0.528238714,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,44,1,0.52923578,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,45,1,0.529734373,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,46,1,0.529734373,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,47,1,0.52745533,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,48,1,0.530232906,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,49,1,0.527668953,Logits,True
Flan-T5-XXL,MMLU_General,NIV2,QA,50,1,0.525532365,Logits,True
